id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
958,"Bright, Modern Garden Unit - 1BR/1BTH",1169,Holly,,Western Addition,37.77028,-122.43317,Entire home/apt,158,2,485,2025-05-25,2.50,1,266,40,STR-0006854
5858,Creative Sanctuary,8904,Philip Jonathon,,Bernal Heights,37.74474,-122.42089,Entire home/apt,250,30,110,2017-08-06,0.56,1,312,0,
8014,female HOST quiet fast internet market parking,22402,Jia,,Outer Mission,37.73077,-122.44827,Private room,62,4,89,2024-08-11,0.57,3,44,2,STR-0000974
8142,*FriendlyRoom Apt. Style -UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76555,-122.45213,Private room,55,32,10,2023-07-30,0.08,20,306,0,
8339,Historic Alamo Square Victorian,24215,Rosmarie,,Western Addition,37.77377,-122.43614,Entire home/apt,527,9,28,2019-06-28,0.15,1,364,0,STR-0000264
10537,Elegant & Cozy w/City views. Private room: Purple,36752,Teresa,,Bayview,37.7175,-122.39698,Private room,107,1,39,2025-05-18,0.21,3,343,12,2022-011003STR
10578,Classic Nob Hill Studio - Roof Deck,37049,Andrew,,Nob Hill,37.79249,-122.41499,Entire home/apt,100,30,18,2015-05-17,0.11,1,304,0,
11490,Cozy Nob Hill Nook,42681,Rachael,,Nob Hill,37.7914,-122.41149,Private room,70,30,45,2025-05-02,0.24,1,122,1,
12041,Sunny/Sunset view room UCSF/USF - San Francisco,21994,Aaron,,Haight Ashbury,37.76901,-122.44701,Private room,65,32,7,2022-06-11,0.04,20,365,0,
12042,Sunny/Sunset view room UCSF/USF - San Francisco*,21994,Aaron,,Haight Ashbury,37.76932,-122.44723,Private room,65,32,6,2024-07-29,0.04,20,365,1,
12522,Perfectly located Castro,18431,Brenda,,Castro/Upper Market,37.76237,-122.42992,Private room,115,3,519,2025-05-21,2.76,1,25,31,STR-0000057
18231,Loft-like Apt./Garden,70224,Arlene,,Noe Valley,37.74858,-122.42865,Entire home/apt,95,30,72,2024-08-17,0.39,1,187,1,
18904,Lower Haight Urban Zen With Private Bath,72464,Patrick,,Western Addition,37.77247,-122.43301,Private room,116,2,506,2025-06-11,3.07,1,35,26,STR-0000094
21334,Studio loft on top of Russian Hill,81455,Joseph Douglas,,Nob Hill,37.7962,-122.41562,Entire home/apt,251,30,125,2024-08-10,0.68,1,365,1,City registration pending
24111,Charming 2 Bd Rm Ocean View,96951,Jason,,Parkside,37.73807,-122.47554,Entire home/apt,100,120,0,,,1,365,0,
24463,"NEST of Potrero Hill - Quiet, Stylish & Convenient",99128,Cathryn,,Potrero Hill,37.75675582885742,-122.4001693725586,Private room,169,2,409,2025-05-22,2.23,2,249,18,STR-0000036
24723,"Guest Suite in PacHeights, Japantown & Fillmore St",100800,Cynthia,,Pacific Heights,37.78897,-122.43376,Entire home/apt,254,5,496,2025-06-07,2.68,2,165,41,Pending Application
25094,San Francisco's Luxury Oasis Private Room On Noe,103339,Bruce,,Glen Park,37.74159,-122.43159,Private room,160,5,78,2025-06-09,0.71,1,313,7,STR-0002528
26488,Embarcadero High Rise with Views!,112300,Micheal,,Financial District,37.79146,-122.3932,Entire home/apt,,360,48,2012-06-21,0.26,1,365,0,
29557,gigi's bed and breakfast,126036,Gigi,,Outer Richmond,37.77885,-122.50534,Entire home/apt,200,2,142,2025-05-18,0.79,1,300,11,STR-0001135
