"OBJECTID","STOPNAME","TRAPEZESTOPABBR","RUCUSSTOPABBR","STOPID","LATITUDE","LONGITUDE","ACCESSIBILITYMASK","ATSTREET","ONSTREET","POSITION","ORIENTATION","SERVICEPLANNINGSTOPTYPE","SHELTER","INSERT_TIMESTAMP","SDE_ID","SIGNUPID","SUPERVISOR_DISTRICT","shape","data_as_of","data_loaded_at"
"100712","Ulloa & Claremont NW-FS/PS","ULOACLAR",,"8039","37.740759","-122.465411",,,"ULLOA ST",,,,"0","1750697045000","16293262","149","7","POINT (-122.465411 37.740759)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"100841","Jones St&Turk ST SW-FS/PS","JONETURK",,"8050","37.782959","-122.412463",,"TURK ST","JONES ST",,,,"0","1750697045000","16292977","149","5","POINT (-122.412463 37.782959)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"100466","3rd St&Paul Ave SW-FS/SB",".3STPAUL",,"7171","37.722262","-122.395839",,"GILMAN AVE","03RD ST",,"SW",,"0","1750697045000","16289925","149","10","POINT (-122.395839 37.722262)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"100169","Fulton St&6TH Ave NW-FS/BZ","FULT.6A0","FULT.6AV","4732","37.773639","-122.463848",,"06TH AVE","FULTON ST","FS","NW","BZ","0","1750697045000","16289620","149","1","POINT (-122.463848 37.773639)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"99249","Fillmore St&Lombard St SW-FS/BZ","FILLLOM0","FILLLOMB","4627","37.799595","-122.436051",,"LOMBARD ST","FILLMORE ST","FS","SW","BZ","0","1750697045000","16284534","149","2","POINT (-122.436051 37.799595)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"101145","Rutland St&Campbell Ave NW-NS/PS","RUTLCAM1","RUTLCAMP","7041","37.71534","-122.40619",,"CAMPBELL AVE","RUTLAND ST","NS","NW",,"0","1750697045000","16290642","149","10","POINT (-122.40619 37.71534)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"100860","Mission St&7th St E-FS/BZ","MISS07S1",,"7129","37.779354","-122.410505",,"7TH ST","MISSION ST","FS","EA","BZ","0","1750697045000","16288761","149","6","POINT (-122.410505 37.779354)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"99925","Newcomb Ave&Keith St S-FS/SB","NEWCKET0","NEWCKETH","5487","37.733","-122.386049",,"KEITH ST","NEWCOMB AVE","FS","SO",,"0","1750697045000","16287895","149","10","POINT (-122.386049 37.733)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"101016","Noriega St&31st Ave NE-NS/BZ","NORI31A0","NORI30AV","5747","37.753754","-122.489201","1","31ST AVE","NORIEGA ST","NS","NE",,"0","1750697045000","16287463","149","4","POINT (-122.489201 37.753754)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"98394","14th Ave&Santiago St SE-NS/PS","14AVSNTG","14AVSNTG","3248","37.74503","-122.4703",,"SANTIAGO ST","14TH AVE","NS","SE","FL","0","1750697045000","16282391","149","7","POINT (-122.4703 37.74503)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"99661","Market St&Laguna St N-NS/SI","MRKTLGN0","MRKTLGNA","5681","37.770953","-122.424666",,"LAGUNA ST","MARKET ST","NS","NO","SI","0","1750697045000","16286409","149","8","POINT (-122.424666 37.770953)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"98309","24th St&Castro St NW-FS/BZ","24STCTR0","24STCTRO","3462","37.75136","-122.434248",,"CASTRO ST","24TH ST","FS","NW","BZ","0","1750697045000","16281892","149","8","POINT (-122.434248 37.75136)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"100972","Steuart St&Market St E-NS/BZ","STEUMRK0","STEUMRKT","6501","37.794409","-122.394538",,"MARKET ST","STEUART ST","NS","EA",,"0","1750697045000","16290448","149","3","POINT (-122.394538 37.794409)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"100322","16th Street & Rhode Island St NW-FS/BZ","16STRIS1",,"7770","37.76611","-122.402822",,"KANSAS ST","16TH ST",,,,"0","1750697045000","16292922","149","6","POINT (-122.402822 37.76611)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
"98340","Beach St&Stockton St SW-NS/PS","BECHSTO0","BECHSTOK","3095","37.807841","-122.41081",,"STOCKTON ST","BEACH ST","NS","SW",,"0","1750697045000","16282047","149","3","POINT (-122.41081 37.807841)","2025 Jul 27 02:54:44 PM","2025 Sep 02 09:26:31 AM"
